id,nombre,precio,descripcion,categoria,material,tamaño,nombre_cientifico,cuidados,origen,kilo,tipo_uso,idea,tipo,forma_uso
b9e20e8f,Artículo 173,3321,Alta resistencia y durabilidad,Macetas,fibracemento,grande,,,,,,,,
b5874f74,Producto 490,8894,Diseño estético y funcional,Árboles,,grande,Latinicus plantarius 25,sombra total,Colombia,,,,,
e26f7a04,Objeto 237,6063,Perfecto para el jardín,Tierras y sustratos,,,,,,10 kg,huerta,,,
97987b8a,Elemento 518,4561,Elemento útil para el hogar,Insumos de jardinería,,,,,,,,mini escultura,,
e356f4f0,Objeto 240,8382,Diseño estético y funcional,Macetas,fibracemento,mediano,,,,,,,,
f2db0236,Producto 546,1003,Diseño estético y funcional,Arbustos,,grande,Latinicus plantarius 83,poca agua,Ecuador,,,,,
8dbebb9b,Elemento 297,3080,Producto ideal para decoración,Plantas de interior,,chico,Latinicus plantarius 38,poca agua,Brasil,,,,,
fb3cb5f0,Objeto 129,9520,Perfecto para el jardín,Insumos de jardinería,,,,,,,,palita,,
46858dcf,Objeto 825,7777,Diseño estético y funcional,Adornos de jardín,,,,,,,,palita,,
8a02557c,Ítem 467,8108,Perfecto para el jardín,Fertilizantes,,,,,,,,,fertilizante orgánico,
aded0a26,Elemento 222,6462,Elemento útil para el hogar,Productos químicos,,,,,,,,,,aplicación directa
814744c4,Artículo 733,2495,Diseño estético y funcional,Arbustos,,mediano,Latinicus plantarius 86,abono mensual,Ecuador,,,,,
649c5b9a,Artículo 842,8575,Popular entre los amantes de las plantas,Árboles,,chico,Latinicus plantarius 28,sol parcial,Perú,,,,,
62d2fcb8,Producto 680,5236,Perfecto para el jardín,Adornos de jardín,,,,,,,,enano de jardín,,
7a7a9be2,Producto 704,3850,Diseño estético y funcional,Coníferas,,mediano,Latinicus plantarius 74,riego moderado,Colombia,,,,,
f76ed516,Producto 522,3477,Elemento útil para el hogar,Tierras y sustratos,,,,,,2 kg,uso general,,,
b4d0e32a,Elemento 202,3127,Perfecto para el jardín,Plantas de interior,,mediano,Latinicus plantarius 96,riego moderado,Perú,,,,,
c8f57b4c,Elemento 893,9699,Elemento útil para el hogar,Árboles,,grande,Latinicus plantarius 26,riego moderado,México,,,,,
e3418dbe,Objeto 252,9914,Perfecto para el jardín,Macetas,fibracemento,chico,,,,,,,,
d864a26a,Elemento 514,6430,Diseño estético y funcional,Souvenirs,,,,,,,,guantes,,
40755c26,Elemento 131,1769,Producto ideal para decoración,Souvenirs,,,,,,,,maceta personalizada,,
30d2f123,Ítem 638,3730,Popular entre los amantes de las plantas,Palmeras,,chico,Latinicus plantarius 50,sol parcial,México,,,,,
38763d5b,Artículo 640,1852,Elemento útil para el hogar,Arbustos,,grande,Latinicus plantarius 35,abono mensual,Perú,,,,,
b58af641,Elemento 497,9442,Diseño estético y funcional,Tierras y sustratos,,,,,,5 kg,huerta,,,
a2633b4b,Producto 340,7274,Alta resistencia y durabilidad,Tierras y sustratos,,,,,,1 kg,uso general,,,
3f23e59d,Elemento 348,5795,Elemento útil para el hogar,Productos químicos,,,,,,,,,,diluir en agua
cb0dec01,Producto 631,3806,Popular entre los amantes de las plantas,Tierras y sustratos,,,,,,2 kg,plantas de interior,,,
1be153e2,Unidad 918,5545,Alta resistencia y durabilidad,Macetas,arcilla,mediano,,,,,,,,
a7ed6bbd,Ítem 650,5810,Elemento útil para el hogar,Fertilizantes,,,,,,,,,fertilizante foliar,
852ccd84,Ítem 993,3217,Diseño estético y funcional,Palmeras,,grande,Latinicus plantarius 67,sol parcial,Argentina,,,,,
c1c9c228,Producto 448,9138,Alta resistencia y durabilidad,Atrapasueños,,,,,,,,regadera,,
400d4b6a,Ítem 743,8565,Popular entre los amantes de las plantas,Insumos de jardinería,,,,,,,,figura de animal,,
15e4a327,Unidad 111,7333,Perfecto para el jardín,Souvenirs,,,,,,,,palita,,
d9f81aea,Producto 111,2768,Producto ideal para decoración,Productos químicos,,,,,,,,,,diluir en agua
47d3e206,Ítem 895,6103,Diseño estético y funcional,Adornos de jardín,,,,,,,,maceta personalizada,,
b7fe8b1c,Elemento 359,9960,Elemento útil para el hogar,Arbustos,,mediano,Latinicus plantarius 83,riego moderado,Ecuador,,,,,
df0de164,Elemento 949,2789,Alta resistencia y durabilidad,Fertilizantes,,,,,,,,,fertilizante foliar,
74d71072,Objeto 643,1085,Producto ideal para decoración,Fertilizantes,,,,,,,,,fertilizante foliar,
c704e716,Artículo 666,6650,Alta resistencia y durabilidad,Frutales,,mediano,Latinicus plantarius 1,riego moderado,Argentina,,,,,
56c28dcd,Ítem 965,1251,Perfecto para el jardín,Frutales,,chico,Latinicus plantarius 96,sombra total,Brasil,,,,,
cad3c831,Producto 103,9971,Diseño estético y funcional,Árboles,,chico,Latinicus plantarius 43,riego moderado,Colombia,,,,,
355a5b3b,Producto 975,1910,Alta resistencia y durabilidad,Fertilizantes,,,,,,,,,fertilizante orgánico,
15a344ab,Objeto 947,8157,Popular entre los amantes de las plantas,Tierras y sustratos,,,,,,5 kg,huerta,,,
462fe96e,Producto 231,6184,Diseño estético y funcional,Souvenirs,,,,,,,,figura de animal,,
52d87d76,Artículo 940,4809,Elemento útil para el hogar,Macetas,fibracemento,grande,,,,,,,,
cd08c9b9,Ítem 556,6080,Popular entre los amantes de las plantas,Atrapasueños,,,,,,,,colgante artesanal,,
5dfdc8b1,Producto 663,8722,Alta resistencia y durabilidad,Adornos de jardín,,,,,,,,enano de jardín,,
996e4918,Ítem 871,1847,Popular entre los amantes de las plantas,Plantas con flores,,chico,Latinicus plantarius 42,riego moderado,Ecuador,,,,,
625af44c,Artículo 695,6361,Producto ideal para decoración,Insumos de jardinería,,,,,,,,palita,,
b19f9b5a,Ítem 896,6655,Popular entre los amantes de las plantas,Frutales,,mediano,Latinicus plantarius 30,poca agua,Perú,,,,,
